Incident Id,Call Type,Date,Location,Incident Number
201776,Domestic Disturbance,12/18/2013 12:50:00 AM,School St/Loomis St,13BU033248
201780,Traffic,12/18/2013 12:53:00 AM,E Allen St,13BU033249
201788,Traffic,12/18/2013 01:40:00 AM,S Willard St/Jackson Ct,13BU033251
201815,Traffic,12/18/2013 06:24:00 AM,Shelburne Rd,13BU033254
201881,Traffic,12/18/2013 09:38:00 AM,N Winooski Ave / Archibald St,13BU033258
201885,Traffic,12/18/2013 09:54:00 AM,Riverside Ave / Hillside Ter,13BU033259
201931,Traffic,12/18/2013 11:21:00 AM,North Ave/Canfield St,13BU033265
201937,Airport AOA Violation,12/18/2013 11:31:00 AM,Airport Dr,13BU033266
201956,Noise,12/18/2013 12:08:00 PM,Cherry St,13BU033270
202028,Assault - Simple,12/18/2013 02:28:00 PM,North Ave,13BU033276
202034,Ordinance Violation - Other,12/18/2013 02:42:00 PM,Riverside Ave,13BU033278
202050,Trespass,12/18/2013 03:22:00 PM,S Winooski Ave,13BU033282
202070,Traffic,12/18/2013 04:06:00 PM,East Ave / Case Pkwy,13BU033284
202072,Ordinance Violation - Other,12/18/2013 04:10:00 PM,N Union St,13BU033285
202075,Burglary,12/18/2013 04:15:00 PM,Colonial Square,13BU033286
202114,Traffic,12/18/2013 05:53:00 PM,Maple St/S Prospect St,13BU033288
202117,Traffic,12/18/2013 06:11:00 PM,East Ave/University Rd,13BU033289
202132,Traffic,12/18/2013 06:51:00 PM,North St/Lafountain St,13BU033293
202170,Traffic,12/18/2013 09:05:00 PM,North St/Rose St,13BU033302
202180,Larceny - from Building,12/18/2013 09:29:00 PM,Main St,13BU033303
202182,Intoxication,12/18/2013 09:30:00 PM,Colchester Ave,13BU033304
202186,Traffic,12/18/2013 09:37:00 PM,S Winooski Ave/Bank St,13BU033305
202203,Intoxication,12/18/2013 10:44:00 PM,N Winooski Ave,13BU033309
202208,Larceny - from Building,12/18/2013 11:12:00 PM,Church St,13BU033311
202218,Traffic,12/18/2013 11:49:00 PM,Riverside Ave/Hildred Dr,13BU033312
202220,Traffic,12/18/2013 11:54:00 PM,North Ave/North St,13BU033313
202225,Domestic Disturbance,12/19/2013 12:32:00 AM,Manhattan Dr,13BU033315
202234,Traffic,12/19/2013 01:53:00 AM,Buell St/Hungerford Ter,13BU033317
202236,Traffic,12/19/2013 02:01:00 AM,S Union St/Bradley St,13BU033318
202239,Traffic,12/19/2013 02:23:00 AM,Battery St/Maple St,13BU033319
202240,Intoxication,12/19/2013 02:28:00 AM,Pearl St/S Winooski Ave,13BU033320
202245,Mental Health Issue,12/19/2013 03:14:00 AM,Church St,13BU033321
202265,Traffic,12/19/2013 07:20:00 AM,Shelburne Rd/Lyman Ave,13BU033322
202323,Traffic,12/19/2013 09:31:00 AM,N Winooski Ave / Pearl St,13BU033328
202349,Traffic,12/19/2013 10:27:00 AM,Shelburne Rd / Lyman Ave,13BU033331
202356,Traffic,12/19/2013 10:36:00 AM,Riverside Ave/Colchester Ave,13BU033333
202362,Traffic,12/19/2013 10:41:00 AM,Pine St / Howard St,13BU033334
202392,Domestic Assault - Misd,12/19/2013 11:37:00 AM,Lake Forest Dr,13BU033338
202452,Larceny - from Building,12/19/2013 01:41:00 PM,Bright St / Intervale Ave,13BU033344
202466,Larceny - from Building,12/19/2013 02:08:00 PM,Riverside Ave,13BU033346
202467,Traffic,12/19/2013 02:13:00 PM,Main St / Battery St,13BU033347
202499,Traffic,12/19/2013 03:24:00 PM,S Winooski Ave / King St,13BU033352
202501,Traffic,12/19/2013 03:26:00 PM,Riverside Ave/N Prospect St,13BU033353
202508,Traffic,12/19/2013 03:35:00 PM,Riverside Ave/Hillside Ter,13BU033354
202525,Traffic,12/19/2013 04:00:00 PM,Riverside Ave/Hillside Ter,13BU033356
202551,Traffic,12/19/2013 04:54:00 PM,Archibald St/Bright St,13BU033362
202557,Mental Health Issue,12/19/2013 05:08:00 PM,S Prospect St,13BU033365
202576,Mental Health Issue,12/19/2013 05:45:00 PM,Pearl St,13BU033369
202600,Traffic,12/19/2013 06:43:00 PM,Manhattan Dr/Rt 127,13BU033375
202604,Traffic,12/19/2013 06:56:00 PM,Lakeview Terr/Haswell St,13BU033377
202605,Traffic,12/19/2013 06:57:00 PM,North Ave,13BU033378
202607,Traffic,12/19/2013 07:00:00 PM,Ward St/Drew St,13BU033379
202615,Traffic,12/19/2013 07:33:00 PM,Riverside Ave,13BU033382
202625,Traffic,12/19/2013 07:54:00 PM,North St/Lafountain St,13BU033386
202631,Traffic,12/19/2013 08:10:00 PM,Pearl St/Elmwood Ave,13BU033389
202640,Traffic,12/19/2013 08:36:00 PM,Manhattan Dr/Oak St,13BU033391
202643,Traffic,12/19/2013 08:49:00 PM,Riverside Ave/Bright St,13BU033394
202657,Domestic Disturbance,12/19/2013 09:29:00 PM,Pearl St/S Winooski Ave,13BU033397
202659,Intoxication,12/19/2013 09:32:00 PM,N Winooski Ave,13BU033398
202675,Traffic,12/19/2013 10:16:00 PM,Riverside Ave/N Prospect St,13BU033402
202686,Trespass,12/19/2013 11:08:00 PM,College St,13BU033408
202692,Traffic,12/19/2013 11:59:00 PM,S Winooski Ave/College St,13BU033410
202697,Traffic,12/20/2013 12:11:00 AM,Shelburne Rd/Home Ave,13BU033411
202700,Traffic,12/20/2013 12:16:00 AM,Archibald St/Bright St,13BU033413
202704,Traffic,12/20/2013 12:21:00 AM,N Willard St/Charles St,13BU033415
202705,Intoxication,12/20/2013 12:22:00 AM,East Ave,13BU033416
202711,Traffic,12/20/2013 12:47:00 AM,St Paul St/Kilburn St,13BU033418
202714,Traffic,12/20/2013 12:56:00 AM,Shelburne Rd/Locust St,13BU033420
202725,Traffic,12/20/2013 01:25:00 AM,MM 88.2,13BU033424
202731,Traffic,12/20/2013 02:12:00 AM,Main St/Spear St,13BU033426
202734,Traffic,12/20/2013 02:24:00 AM,S Willard St/Shelburne Rd,13BU033427
202737,Traffic,12/20/2013 02:32:00 AM,North St/N Prospect St,13BU033428
202740,Traffic,12/20/2013 02:50:00 AM,North Ave/Washington St,13BU033429
202746,Traffic,12/20/2013 03:15:00 AM,Proctor Ave/Appletree Ct,13BU033430
202758,Mental Health Issue,12/20/2013 05:12:00 AM,Beltline/North Ave,13BU033432
202762,Trespass,12/20/2013 06:15:00 AM,Pearl St,13BU033434
202778,Traffic,12/20/2013 07:27:00 AM,Shelburne Rd/Flynn Ave,13BU033438
202785,Traffic,12/20/2013 07:41:00 AM,Pine St/Lakeside Ave,13BU033439
202807,Vandalism,12/20/2013 08:18:00 AM,North Ave,13BU033441
202848,Burglary,12/20/2013 09:47:00 AM,Peru St,13BU033445
202849,Traffic,12/20/2013 09:53:00 AM,Manhattan Dr/Spring st,13BU033446
202926,Noise,12/20/2013 12:38:00 PM,King St,13BU033456
202928,Intoxication,12/20/2013 12:47:00 PM,St Paul St,13BU033457
202948,Mental Health Issue,12/20/2013 01:38:00 PM,Elmwood Ave/North St,13BU033460
203009,Domestic Disturbance,12/20/2013 03:01:00 PM,Pearl St,13BU033477
203011,Trespass,12/20/2013 03:07:00 PM,Church St,13BU033478
203019,Trespass,12/20/2013 03:17:00 PM,Main St,13BU033479
203028,Noise,12/20/2013 03:27:00 PM,Elmwood Ave,13BU033482
203059,Trespass,12/20/2013 04:18:00 PM,Pearl St,13BU033483
203062,Vandalism,12/20/2013 04:22:00 PM,Pearl St,13BU033484
203068,Burglary,12/20/2013 04:31:00 PM,Buell St,13BU033486
203083,Burglary,12/20/2013 04:55:00 PM,Hillside Terr,13BU033488
203115,Traffic,12/20/2013 06:36:00 PM,Main St/Church St,13BU033491
203117,Traffic,12/20/2013 06:43:00 PM,Main St/Church St,13BU033492
203142,Trespass,12/20/2013 07:22:00 PM,Claire Point Rd,13BU033497
203149,Traffic,12/20/2013 07:45:00 PM,Battery St/King St,13BU033498
203190,Traffic,12/20/2013 09:25:00 PM,Cherry St/Battery St,13BU033503
203192,Traffic,12/20/2013 09:31:00 PM,Park St/Pearl St,13BU033505
203195,Traffic,12/20/2013 09:39:00 PM,Maple St/Pine St,13BU033506
203203,Traffic,12/20/2013 09:55:00 PM,N Willard St/Pearl St,13BU033507
203206,Traffic,12/20/2013 10:03:00 PM,S Prospect St/College St,13BU033508
203209,Robbery,12/20/2013 10:18:00 PM,Bank St/St Paul St,13BU033509
203231,Traffic,12/20/2013 10:52:00 PM,Main St/East Ave,13BU033512
203244,Traffic,12/20/2013 11:30:00 PM,Main St/University Pl,13BU033515
203275,Traffic,12/21/2013 12:47:00 AM,North Ave/Little Eagle Bay,13BU033519
203276,Traffic,12/21/2013 12:51:00 AM,Main St/University Pl,13BU033520
203279,Traffic,12/21/2013 01:02:00 AM,Main St/University Pl,13BU033523
203292,Traffic,12/21/2013 01:38:00 AM,Main St/S Williams St,13BU033525
203301,Traffic,12/21/2013 01:55:00 AM,North Ave/Washington St,13BU033529
203302,Traffic,12/21/2013 01:56:00 AM,Main St/S Williams St,13BU033530
203326,Trespass,12/21/2013 03:03:00 AM,N Winooski Ave,13BU033534
203342,Traffic,12/21/2013 05:57:00 AM,North St/North Ave,13BU033538
203360,Mental Health Issue,12/21/2013 08:25:00 AM,Pine St,13BU033544
203361,Trespass,12/21/2013 08:25:00 AM,North Ave,13BU033545
203367,Domestic Assault - Misd,12/21/2013 09:13:00 AM,Austin Dr,13BU033546
203409,Traffic,12/21/2013 11:41:00 AM,Flynn Ave/Wells St,13BU033551
203410,Traffic,12/21/2013 11:55:00 AM,St Paul St/Howard St,13BU033552
203462,Traffic,12/21/2013 02:23:00 PM,Shelburne Rd/Hadley Rd,13BU033557
203490,Traffic,12/21/2013 03:28:00 PM,Shelburne Rd/Ferguson Ave,13BU033562
203497,Traffic,12/21/2013 04:00:00 PM,Shelburne Rd/Prospect Pkwy,13BU033565
203511,Trespass,12/21/2013 05:03:00 PM,Claire Point Rd,13BU033566
203549,Ordinance Violation - Other,12/21/2013 07:24:00 PM,Blodgett St/Strong St,13BU033572
203614,Assault - Simple,12/21/2013 11:52:00 PM,Blodgett St,13BU033576
203626,Trespass,12/22/2013 01:17:00 AM,Church St,13BU033577
203630,Ordinance Violation - Other,12/22/2013 01:40:00 AM,Maple St/S Willard St,13BU033579
203647,Noise,12/22/2013 05:00:00 AM,Venus Ave,13BU033581
